1 - State Name,8 - Structure Number,22 - Owner Agency,CAT29 - Deck Area (sq. ft.),27 - Year Built,43A - Main Span Material,43B - Main Span Design,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
'Pennsylvania',000000000037029,'State Park, Forest, or Reservation Agency',430.99,1936,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Poor','Fair','Fair'
'Pennsylvania',000000000016735,'State Highway Agency',968.75,1923,'Concrete','Tee Beam','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000036472,'State Highway Agency',461.56,1935,'Concrete Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000017060,'State Highway Agency',2895.92,1940,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000017040,'State Highway Agency',852.5,1898,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000003127,'State Highway Agency',2567.84,1971,'Steel','Stringer/Multi-beam or Girder','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000017038,'State Highway Agency',768.97,1939,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000016982,'State Highway Agency',1023.86,1960,'Prestressed Concrete','Box Beam or Girders - Multiple','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000035991,'State Highway Agency',9916.79,1954,'Steel','Stringer/Multi-beam or Girder','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000036564,'State Highway Agency',2593.03,1972,'Prestressed Concrete','Box Beam or Girders - Single or Spread','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000034884,'State Highway Agency',558,1923,'Concrete Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000018429,'State Highway Agency',686.74,1942,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000002206,'County Highway Agency',34313.2,1983,'Steel Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000008275,'County Highway Agency',450.15,1936,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair'
'Pennsylvania',000000000008308,'City or Municipal Highway Agency',1153.46,1934,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000002585,'Other Local Agencies',22646.41,1973,'Steel','Arch - Deck','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000018398,'State Highway Agency',1113.96,1953,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair'
'Pennsylvania',000000000035255,'County Highway Agency',1130.21,1947,'Prestressed Concrete','Box Beam or Girders - Multiple','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000003497,'State Highway Agency',13478.35,1953,'Steel Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000022514,'County Highway Agency',1374.34,1955,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Fair'
'Pennsylvania',000000000022520,'County Highway Agency',1530.63,1997,'Prestressed Concrete','Box Beam or Girders - Multiple','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000022550,'Town or Township Highway Agency',786.84,1991,'Prestressed Concrete','Box Beam or Girders - Multiple','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000022460,'State Highway Agency',757.78,1961,'Concrete','Slab','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000019379,'State Highway Agency',2108,1965,'Prestressed Concrete','Box Beam or Girders - Multiple','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000035981,'State Highway Agency',1560.77,1948,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair'
'Pennsylvania',000000000016831,'State Highway Agency',1835.46,1937,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000036661,'State Highway Agency',13457.04,1977,'Prestressed Concrete','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000036403,'State Highway Agency',1935.57,1966,'Prestressed Concrete','Box Beam or Girders - Multiple','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000016935,'State Highway Agency',786.84,1929,'Prestressed Concrete','Box Beam or Girders - Multiple','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000016984,'State Highway Agency',2718.53,1954,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000003046,'State Highway Agency',617.85,1941,'Concrete','Tee Beam','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000017048,'State Highway Agency',527.43,1941,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000036543,'State Highway Agency',5973.97,1958,'Steel Continuous','Stringer/Multi-beam or Girder','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000036205,'State Highway Agency',5337.82,1972,'Prestressed Concrete','Box Beam or Girders - Single or Spread','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Fair','Fair'
'Pennsylvania',000000000001618,'State Highway Agency',1075.96,1984,'Prestressed Concrete','Box Beam or Girders - Multiple','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000001105,'State Highway Agency',1280.91,1950,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000034964,'State Highway Agency',1635.68,1958,'Prestressed Concrete','Slab','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000000960,'State Highway Agency',6783.42,1959,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000002144,'County Highway Agency',1804.89,1901,'Concrete Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
'Pennsylvania',000000000018199,'State Highway Agency',919.24,1934,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Fair','Fair','Fair','Fair','Fair','Fair','Fair','Fair'
